Edad;Sexoedad;Ano;101;102;103;104;105;106;107;108;109;110;201;202;203;204;205;206;207;208;209;210;211;212;213;214;301;302;303;304;306;307;308;309;401;402;403;404;405;406;407;501;502;503;504;505;506;507;508;509;510;511;512;513;514;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;Sexo;Edad
M15a44(01);M15a44;2001;26;123;40;12;38;89;0;294;176;56;150;83;44;55;26;47;11;286;435;0;94;262;329;69;42;86;324;187;32;405;1;52;0;0;0;0;0;0;0;742;14;35;0;4;55;32;9;15;85;454;1774;18;192;175;50;6;267;85;5;17;74;44;74;202;190;0;671;51;392;Mujer;15a44
H45a64(01);H45a64;2001;51;325;28;18;44;106;4;379;309;86;853;178;198;276;121;626;146;6;0;224;142;330;662;114;29;390;3285;443;190;1373;5;274;0;0;0;0;0;0;0;1053;19;200;7;3;82;20;17;7;241;338;3363;5;306;903;97;8;213;718;7;34;136;91;498;598;318;9;0;14;257;Hombre;45a64
M45a64(01);M45a64;2001;38;140;29;6;30;104;3;49;227;42;409;208;148;404;163;363;52;774;888;0;314;279;629;105;65;379;1813;382;159;1451;3;154;0;0;0;1;0;0;0;272;3;30;1;1;14;9;4;8;52;43;315;0;58;1005;73;0;150;559;4;20;120;73;230;403;250;0;14;19;340;Mujer;45a64
H65(01);H65;2001;167;315;42;10;44;281;3;32;1326;94;1512;331;482;523;245;1158;253;10;0;1774;262;397;1097;179;38;2047;8792;1237;1197;4370;110;696;0;0;0;0;0;0;0;644;3;218;3;2;40;21;6;16;188;161;538;1;244;1833;409;14;286;4018;10;152;389;281;538;1530;881;140;0;4;755;Hombre;65
M65(01);M65;2001;202;166;41;11;23;316;0;7;1518;81;1162;472;345;808;314;727;104;567;791;0;407;406;1124;163;67;2371;8073;1418;1224;5399;158;579;0;0;0;0;0;0;0;249;3;129;0;0;9;12;2;17;135;15;95;1;159;2829;507;13;293;3292;8;195;376;334;388;1568;830;0;0;5;1102;Mujer;65
H1(02);H1;2002;383;5;10;17;83;65;13;13;505;44;0;0;0;0;0;0;0;0;0;0;0;5;5;5;1;1;2;33;3;30;0;0;93;349;184;1984;428;48;583;12;0;5;0;0;14;7;1;2;170;0;22;0;12;0;273;0;63;17;4;22;67;22;7;66;27;0;0;1231;55;Hombre;1
M1(02);M1;2002;283;9;14;8;77;48;14;8;402;17;0;0;0;4;0;1;0;0;0;0;1;9;5;5;0;0;1;26;2;10;0;0;97;255;129;1455;276;22;431;18;0;9;0;0;4;5;1;1;130;0;24;0;10;0;227;0;48;8;2;20;63;16;3;44;17;0;0;1094;58;Mujer;1
H1a4(02);H1a4;2002;116;13;23;0;35;27;0;7;164;31;2;0;1;3;0;0;1;0;0;0;10;53;33;14;1;2;0;33;4;11;0;0;0;0;0;0;0;0;1;108;1;19;1;2;163;18;9;0;97;0;40;0;38;1;118;0;77;22;2;7;32;10;4;32;15;0;0;106;50;Hombre;1a4
M1a4(02);M1a4;2002;113;9;9;1;30;14;0;6;152;44;0;0;1;4;0;1;0;0;0;0;4;38;26;11;0;0;2;15;4;6;0;0;0;0;0;1;0;0;1;59;3;13;1;3;86;13;4;0;81;0;27;0;38;2;152;0;61;21;0;6;32;7;6;18;18;0;0;98;38;Mujer;1a4
H5a14(02);H5a14;2002;8;8;33;4;23;17;0;9;64;19;0;0;1;1;0;1;0;0;0;0;6;154;50;16;4;3;8;29;2;28;0;0;0;0;0;0;0;0;0;304;0;26;5;6;156;6;4;0;128;53;263;1;61;5;30;2;89;9;0;6;32;17;6;14;22;0;0;65;63;Hombre;5a14
M5a14(02);M5a14;2002;24;7;20;2;18;10;0;3;61;20;0;2;0;3;0;1;2;0;0;0;7;104;49;15;4;2;3;22;5;25;0;0;0;0;0;0;0;0;0;163;1;8;1;2;48;12;3;0;49;64;115;1;34;6;20;2;80;10;3;4;14;12;5;21;16;0;6;38;48;Mujer;5a14
